date,AMZN,DPZ,BTC-USD,NFLX,RELIANCE.NS,INFY.NS,TCS.NS,HDFCBANK.NS
01/04/2021,159.3314971923828,360.42572021484375,31971.9140625,522.8599853515625,915.7890014648438,1184.322021484375,2866.647216796875,1359.3297119140625
01/05/2021,160.92550659179688,362.17333984375,33992.4296875,520.7999877929688,904.4039916992188,1189.424072265625,2917.152587890625,1369.6014404296875
01/06/2021,156.91900634765625,365.52587890625,36824.36328125,500.489990234375,880.5530395507812,1178.6680908203125,2878.011962890625,1363.697509765625
01/07/2021,158.10800170898438,363.93035888671875,39371.04296875,508.8900146484375,879.1270141601562,1160.327392578125,2860.374755859375,1359.5697021484375
01/08/2021,159.13499450683594,369.28692626953125,40797.609375,510.3999938964844,889.5,1206.2479248046875,2943.466552734375,1374.3533935546875
01/11/2021,155.7104949951172,370.9109802246094,35566.65625,499.1000061035156,872.7330322265625,1265.1766357421875,2995.85791015625,1393.36083984375
01/12/2021,156.04150390625,366.12420654296875,33922.9609375,494.25,900.2410278320312,1261.08544921875,2994.34912109375,1421.728271484375
01/13/2021,158.29449462890625,362.6671142578125,37316.359375,507.7900085449219,891.8460083007812,1275.2430419921875,2979.35302734375,1411.79248046875
01/14/2021,156.37350463867188,355.01226806640625,39187.328125,500.8599853515625,901.8739624023438,1259.9364013671875,3071.720947265625,1409.968505859375
01/15/2021,155.21249389648438,356.3703918457031,36825.3671875,497.9800109863281,891.2250366210938,1236.447509765625,3055.326171875,1407.95263671875
01/19/2021,156.03799438476562,353.9200744628906,36069.8046875,501.7699890136719,927.5419311523438,1210.4307861328125,3081.169921875,1443.663818359375
01/20/2021,163.16900634765625,359.9508972167969,35547.75,586.3400268554688,945.159912109375,1231.3912353515625,3126.621826171875,1432.2880859375
01/21/2021,165.34950256347656,361.9643249511719,30825.69921875,579.8400268554688,965.7218017578125,1231.6212158203125,3093.59619140625,1415.7764892578125
01/22/2021,164.6114959716797,361.25213623046875,33005.76171875,565.1699829101562,942.8139038085938,1232.678466796875,3121.236083984375,1385.777099609375
01/25/2021,164.6999969482422,359.466552734375,32366.392578125,556.780029296875,892.8579711914062,1218.198974609375,3110.0859375,1404.3046875
01/27/2021,161.62899780273438,357.9659729003906,30432.546875,523.280029296875,871.6980590820312,1196.043212890625,3081.5009765625,1353.1859130859375
01/28/2021,161.88099670410156,352.92291259765625,33466.09765625,538.5999755859375,863.2110595703125,1173.2440185546875,3020.552490234375,1316.5626220703125
01/29/2021,160.30999755859375,352.1250915527344,34316.38671875,532.3900146484375,847.2951049804688,1139.0911865234375,2940.043212890625,1334.8502197265625
02/01/2021,167.1439971923828,352.75189208984375,33537.17578125,539.0399780273438,871.8360595703125,1159.17822265625,2966.50146484375,1417.6484375
02/02/2021,169.0,358.2603759765625,35510.2890625,548.1599731445312,885.8660278320312,1168.693359375,3027.071533203125,1498.0946044921875
02/03/2021,165.62649536132812,354.5659484863281,37472.08984375,539.4500122070312,888.0970458984375,1181.012451171875,3023.85986328125,1511.7744140625
02/04/2021,166.5500030517578,354.2525634765625,36926.06640625,552.1599731445312,885.176025390625,1176.139892578125,3012.898193359375,1515.902099609375
02/05/2021,167.6074981689453,358.2699279785156,38144.30859375,550.7899780273438,884.9230346679688,1169.4744873046875,2984.07763671875,1533.66162109375
02/08/2021,166.14700317382812,360.95770263671875,46196.46484375,547.9199829101562,897.6649780273438,1198.3876953125,3037.136474609375,1541.0057373046875
02/09/2021,165.25,363.7118835449219,46481.10546875,559.0700073242188,899.8269653320312,1200.226318359375,3001.984375,1547.341552734375
02/10/2021,164.32899475097656,362.85711669921875,44918.18359375,563.5900268554688,908.1759643554688,1191.90625,3036.38037109375,1518.446044921875
02/11/2021,163.10650634765625,365.83935546875,47909.33203125,557.5900268554688,945.619873046875,1188.366943359375,3029.482177734375,1509.42236328125
02/12/2021,163.885498046875,365.81085205078125,47504.8515625,556.52001953125,939.1339111328125,1204.1331787109375,3015.119140625,1518.6380615234375
02/16/2021,163.44749450683594,358.9252624511719,49199.87109375,557.280029296875,947.367919921875,1186.2984619140625,2937.633544921875,1561.5491943359375
02/17/2021,165.4320068359375,357.56707763671875,52149.0078125,551.3400268554688,958.2928466796875,1177.9327392578125,2903.8994140625,1523.0059814453125
02/18/2021,166.4114990234375,358.1844177246094,51679.796875,548.219970703125,951.139892578125,1188.1829833984375,2889.0166015625,1492.0947265625
02/19/2021,162.4949951171875,352.78985595703125,55888.1328125,540.219970703125,956.9358520507812,1187.1258544921875,2902.71826171875,1477.503173828125
02/22/2021,159.03700256347656,346.8065490722656,54207.3203125,533.780029296875,923.723876953125,1163.1314697265625,2795.56201171875,1486.046875
02/23/2021,159.72500610351562,348.3071594238281,48824.42578125,546.1500244140625,930.784912109375,1164.188720703125,2816.11474609375,1467.9512939453125
02/24/2021,157.97650146484375,346.2651672363281,49705.33203125,553.4099731445312,948.0579223632812,1171.497314453125,2785.781982421875,1542.1575927734375
02/25/2021,152.85800170898438,321.96136474609375,47093.8515625,546.7000122070312,986.3988037109375,1171.727294921875,2830.38330078125,1542.109619140625
02/26/2021,154.64649963378906,329.0939636230469,46339.76171875,538.8499755859375,959.4658813476562,1152.1915283203125,2734.94384765625,1472.9910888671875
03/01/2021,157.3070068359375,327.71685791015625,49631.2421875,550.6400146484375,966.7798461914062,1164.7861328125,2763.197509765625,1496.5107421875
03/02/2021,154.72650146484375,325.7698669433594,48378.98828125,547.8200073242188,968.7578125,1199.2611083984375,2840.82470703125,1505.4384765625
